Transaction_ID,Customer_ID,Date,Time,Zone,Product,Amount,X_Loc,Y_Loc
TXN-45721,9290100,2026-01-23,09:06:01,Groceries,Artisan Bread,47,9057.0,2507.0
TXN-68029,9345000,2026-01-23,09:12:01,Home,Cushion,76,5477.0,5760.0
TXN-31910,9485100,2026-01-23,09:26:10,Beauty,Lipstick,83,13724.0,6707.0
TXN-83420,9475600,2026-01-23,09:24:50,Beauty,Skincare Set,37,12917.0,35.0
TXN-75555,9322600,2026-01-23,09:09:18,Groceries,Artisan Bread,37,8528.0,2782.0
TXN-22539,9275400,2026-01-23,09:05:05,Groceries,Artisan Bread,14,9771.0,2916.0
TXN-38592,9431100,2026-01-23,09:20:07,Home,Cushion,25,10.0,965.0
TXN-78210,9485900,2026-01-23,09:27:52,Home,Frame,61,108.0,4706.0
TXN-35278,9474500,2026-01-23,09:25:21,Groceries,Fresh Produce,46,8838.0,3276.0
TXN-13047,9253800,2026-01-23,09:02:58,Beauty,Skincare Set,118,13311.0,6828.0
TXN-77538,9242400,2026-01-23,09:01:26,Groceries,Fresh Produce,47,7483.0,3704.0
TXN-18198,9281901,2026-01-23,09:05:21,Groceries,Fresh Produce,56,9968.0,2541.0
TXN-72648,9284100,2026-01-23,09:05:37,Home,Frame,68,233.0,6.0
TXN-35687,9284200,2026-01-23,09:06:04,Beauty,Lipstick,34,13786.0,6541.0
TXN-77143,9512901,2026-01-23,09:28:58,Groceries,Organic Coffee,55,11157.0,9159.0
TXN-98667,9282600,2026-01-23,09:05:30,Groceries,Organic Coffee,48,8515.0,2915.0
TXN-96642,9310200,2026-01-23,09:08:29,Beauty,Perfume,35,12768.0,9022.0
TXN-43783,9432100,2026-01-23,09:20:52,Beauty,Lipstick,59,14985.0,149.0
TXN-47192,9342900,2026-01-23,09:11:21,Electronics,4K TV,513,6227.0,14415.0
TXN-28340,9265100,2026-01-23,09:04:16,Groceries,Artisan Bread,38,8508.0,4888.0
TXN-98641,9381500,2026-01-23,09:15:35,Beauty,Lipstick,143,13547.0,6619.0
TXN-10050,9344900,2026-01-23,09:12:58,Home,Frame,64,2050.0,5574.0
TXN-45082,9311301,2026-01-23,09:08:13,Home,Cushion,68,43.0,5851.0
TXN-40905,9341200,2026-01-23,09:11:57,Home,Lamp,40,5.0,5970.0
TXN-51556,9321200,2026-01-23,09:09:29,Electronics,4K TV,1375,6880.0,14086.0
TXN-69273,9351200,2026-01-23,09:12:04,Home,Frame,47,66.0,6635.0
TXN-93889,9321000,2026-01-23,09:09:05,Beauty,Skincare Set,110,14985.0,760.0
TXN-71744,9393800,2026-01-23,09:17:14,Home,Lamp,72,2443.0,5096.0
TXN-34598,9343700,2026-01-23,09:11:55,Beauty,Perfume,48,13552.0,7103.0
TXN-61916,9502700,2026-01-23,09:27:49,Beauty,Lipstick,131,12521.0,9377.0
TXN-56214,9272600,2026-01-23,09:04:21,Home,Lamp,48,33.0,6185.0
TXN-14525,9390800,2026-01-23,09:16:34,Beauty,Skincare Set,137,13238.0,7154.0
TXN-23831,9383000,2026-01-23,09:15:55,Home,Lamp,66,25.0,5373.0
TXN-99827,9443400,2026-01-23,09:22:00,Home,Frame,23,12.0,6605.0
TXN-51309,9273000,2026-01-23,09:04:54,Beauty,Skincare Set,125,14983.0,247.0
TXN-45094,9254400,2026-01-23,09:03:16,Home,Frame,55,1085.0,6177.0
TXN-78922,9502402,2026-01-23,09:28:01,Electronics,4K TV,927,8215.0,13755.0
TXN-30310,9464900,2026-01-23,09:24:20,Home,Cushion,69,37.0,5912.0
TXN-60933,9413700,2026-01-23,09:19:01,Beauty,Skincare Set,92,13344.0,6358.0
TXN-74672,9380000,2026-01-23,09:15:27,Home,Cushion,17,22.0,5789.0
TXN-34751,9312900,2026-01-23,09:09:12,Beauty,Skincare Set,98,14997.0,748.0
TXN-99903,9291000,2026-01-23,09:06:52,Electronics,Headphones,405,34.0,9039.0
TXN-82799,9252400,2026-01-23,09:04:35,Groceries,Fresh Produce,60,9777.0,2257.0
TXN-98929,9344101,2026-01-23,09:12:05,Home,Frame,75,30.0,6409.0
TXN-99480,9254100,2026-01-23,09:03:03,Beauty,Lipstick,97,13509.0,6593.0
